,Unnamed: 0,region,location,location_link,name,link,rating,rating_num,latitude,longitude,cooking,service,price_quality,environment,excellence_cert,address,price,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb,excellent,very_good,good,bad,very_bad,Italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p
275,162,-1,-1,-1,-1,-1,4.0,42.0,50.878494,4.698892,3.5,4.0,4.0,,0,-1,-1,2.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,1.0,3.0,1.0,0.0,,,,0.166666666666667,0.0238095238095238,0.0714285714285714,0.0238095238095238,0.0,0.0476190476190476,0.166666666666667,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.11904761904761901,0.11904761904761901
276,157,-1,-1,-1,-1,-1,4.0,53.0,50.885319,4.71818,4.0,4.0,3.5,3.5,0,-1,-1,1.0,3.0,1.0,1.0,13.0,8.0,5.0,6.0,5.0,7.0,13.0,3.0,1.0,0.0,,,,0.132075471698113,0.245283018867925,0.0566037735849057,0.0188679245283019,0.0,0.0188679245283019,0.0566037735849057,0.0188679245283019,0.0188679245283019,0.245283018867925,0.150943396226415,0.0943396226415094,0.11320754716981098,0.0943396226415094
277,200,-1,-1,-1,-1,-1,4.5,24.0,50.876251,4.69771,4.5,4.0,4.0,,0,-1,-1,0.0,5.0,0.0,0.0,6.0,7.0,3.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,,,,0.25,0.125,0.0416666666666667,0.0,0.0416666666666667,0.0,0.208333333333333,0.0,0.0,0.25,0.29166666666666696,0.125,0.0416666666666667,0.0
278,176,-1,-1,-1,-1,-1,4.0,37.0,50.87973,4.7001,4.0,4.0,3.5,4.0,0,-1,-1,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,,,,0.0810810810810811,0.0540540540540541,0.0,0.0,0.0,0.0540540540540541,0.0540540540540541,0.0,0.0,0.027027027027027,0.027027027027027,0.0540540540540541,0.0,0.0540540540540541
279,300,-1,-1,-1,-1,-1,4.5,3.0,50.880299,4.69388,,,,,0,-1,-1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.33333333333333304,0.33333333333333304,0.0,0.0,0.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.33333333333333304,0.33333333333333304,0.0
280,305,-1,-1,-1,-1,-1,4.0,7.0,50.884029,4.7209,3.5,4.0,3.5,,0,-1,-1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,0.28571428571428603,0.14285714285714302,0.0,0.0,0.0,0.14285714285714302,0.0,0.0,0.0,0.14285714285714302,0.0,0.0,0.42857142857142894,0.0
281,272,-1,-1,-1,-1,-1,5.0,3.0,50.87365,4.71316,,,,,0,-1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.33333333333333304,0.0,0.0,0.0,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333304,0.0
282,315,-1,-1,-1,-1,-1,4.5,2.0,50.870948999999996,4.7123800000000005,,,,,0,-1,-1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0
283,350,-1,-1,-1,-1,-1,3.0,3.0,50.878269,4.70223,,,,,0,-1,-1,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,0.33333333333333304,0.33333333333333304,0.33333333333333304,0.0,0.0,0.33333333333333304,0.0,0.0,0.666666666666667,0.666666666666667,0.0,0.33333333333333304,0.0
284,253,-1,-1,-1,-1,-1,3.5,85.0,50.887653,4.701999,3.5,3.0,3.0,,0,-1,-1,23.0,19.0,3.0,3.0,30.0,20.0,34.0,14.0,17.0,17.0,31.0,19.0,5.0,13.0,,,,0.2,0.36470588235294105,0.22352941176470603,0.0588235294117647,0.15294117647058803,0.270588235294118,0.22352941176470603,0.0352941176470588,0.0352941176470588,0.3529411764705879,0.23529411764705901,0.4,0.164705882352941,0.2
