,region,location,location_link,name,link,rating,rating_num,latitude,longitude,cooking,service,price_quality,environment,excellence_cert,address,price,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb,excellent,very_good,good,bad,very_bad,Italian,first_foreign_new,second_foreign_new,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p
204,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Lunch Delight_x000D_
",/Restaurant_Review-g188669-d7795673-Reviews-Lunch_Delight-Leuven_Flemish_Brabant_Province.html,4.5,11,50.870499,4.69165,4,4.5,4,NA,0,"Indirizzo:_x000D_
 Tervuursevest 113, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,1,2,3,1,4,3,4,1,3,5,5,1,0,0,NA,NA,NA,0.454545454545455,0.454545454545455,0.0909090909090909,0,0,0.0909090909090909,0.181818181818182,0.272727272727273,0.0909090909090909,0.363636363636364,0.272727272727273,0.363636363636364,0.0909090909090909,0.272727272727273
346,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Bavet_x000D_
",/Restaurant_Review-g188669-d11954156-Reviews-Bavet-Leuven_Flemish_Brabant_Province.html,4,36,50.878361,4.70322,4,4,4,NA,0,"Indirizzo:_x000D_
 Tiensestraat 22, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,3,12,3,0,17,11,6,7,12,10,16,8,0,2,NA,NA,NA,0.277777777777778,0.444444444444444,0.222222222222222,0,0.0555555555555556,0.0833333333333333,0.333333333333333,0.0833333333333333,0,0.472222222222222,0.305555555555556,0.166666666666667,0.194444444444444,0.333333333333333
22,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Annapurna Restaurant_x000D_
",/Restaurant_Review-g3833828-d12139827-Reviews-Annapurna_Restaurant-Kessel_Lo_Leuven_Flemish_Brabant_Province.html,5,90,50.873581,4.715277,5,5,4.5,NA,1,"Indirizzo:_x000D_
 Tiensesteenweg 19, Kessel-Lo, Leuven 3010, Belgio _x000D_
_x000D_
",€€ - €€€,31,90,2,1,19,29,29,18,14,80,7,1,0,2,NA,NA,NA,0.888888888888889,0.0777777777777778,0.0111111111111111,0,0.0222222222222222,0.344444444444444,1,0.0222222222222222,0.0111111111111111,0.211111111111111,0.322222222222222,0.322222222222222,0.2,0.155555555555556
260,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Wok Dynasty Heverlee_x000D_
",/Restaurant_Review-g641779-d809817-Reviews-Wok_Dynasty_Heverlee-Heverlee_Leuven_Flemish_Brabant_Province.html,3.5,144,50.862885,4.695029,3.5,3,3.5,3,0,"Indirizzo:_x000D_
 Lodewijk E. van Arenbergplein 11/1, Heverlee, Leuven 3001, Belgio _x000D_
_x000D_
",€€ - €€€,44,31,1,5,40,35,35,39,35,13,60,38,21,12,NA,NA,NA,0.0902777777777778,0.416666666666667,0.263888888888889,0.145833333333333,0.0833333333333333,0.305555555555556,0.215277777777778,0.00694444444444444,0.0347222222222222,0.277777777777778,0.243055555555556,0.243055555555556,0.270833333333333,0.243055555555556
89,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Koutoubiya_x000D_
",/Restaurant_Review-g188669-d1808707-Reviews-Koutoubiya-Leuven_Flemish_Brabant_Province.html,4,199,50.877983,4.703055,4,4,3.5,4,0,"Indirizzo:_x000D_
 Muntstraat 40-42, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,30,73,4,21,47,35,47,62,55,61,93,20,16,9,NA,NA,NA,0.306532663316583,0.467336683417085,0.100502512562814,0.0804020100502513,0.0452261306532663,0.150753768844221,0.366834170854271,0.0201005025125628,0.105527638190955,0.236180904522613,0.175879396984925,0.236180904522613,0.311557788944724,0.276381909547739
25,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Het Land Aan de Overkant_x000D_
",/Restaurant_Review-g641779-d740854-Reviews-Het_Land_Aan_de_Overkant-Heverlee_Leuven_Flemish_Brabant_Province.html,4.5,169,50.870998,4.712331,4.5,4.5,4,4,1,"Indirizzo:_x000D_
 Leon Schreursvest 89, Heverlee, Leuven 3001, Belgio _x000D_
_x000D_
",€€€€,15,59,3,28,41,39,43,37,50,83,61,15,9,1,NA,NA,NA,0.49112426035503,0.36094674556213,0.0887573964497041,0.0532544378698225,0.00591715976331361,0.0887573964497041,0.349112426035503,0.0177514792899408,0.165680473372781,0.242603550295858,0.230769230769231,0.254437869822485,0.218934911242604,0.29585798816568
213,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Brasserie Gambrinus_x000D_
",/Restaurant_Review-g188669-d7353488-Reviews-Brasserie_Gambrinus-Leuven_Flemish_Brabant_Province.html,4,36,50.8792,4.700556,3.5,4,3.5,NA,0,"Indirizzo:_x000D_
 Grote Markt 13, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,7,9,3,2,14,7,8,10,11,9,18,3,3,3,NA,NA,NA,0.25,0.5,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.194444444444444,0.25,0.0833333333333333,0.0555555555555556,0.388888888888889,0.194444444444444,0.222222222222222,0.277777777777778,0.305555555555556
390,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Bite_x000D_
",/Restaurant_Review-g188669-d14870548-Reviews-Bite-Leuven_Flemish_Brabant_Province.html,NA,NA,50.878483,4.703214,NA,NA,NA,NA,0,"Indirizzo:_x000D_
 Tiensestraat 12, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
My Thai Leuven_x000D_
",/Restaurant_Review-g188669-d14138738-Reviews-My_Thai_Leuven-Leuven_Flemish_Brabant_Province.html,4,20,50.880184,4.699821,4,3.5,4,NA,0,"Indirizzo:_x000D_
 Dirk Boutslaan 7, Leuven 3000, Belgio _x000D_
_x000D_
",€€ - €€€,1,2,0,0,2,0,4,1,0,2,1,1,1,0,NA,NA,NA,0.1,0.05,0.05,0.05,0,0.05,0.1,0,0,0.1,0,0.2,0.05,0
384,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Brasserie Martinique_x000D_
",/Restaurant_Review-g188669-d740894-Reviews-Brasserie_Martinique-Leuven_Flemish_Brabant_Province.html,NA,NA,50.878288,4.69916,NA,NA,NA,NA,0,"Indirizzo:_x000D_
 Oude Markt 43, Leuven 3000, Belgio _x000D_
_x000D_
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,Leuven,Leuven_Flemish_Brabant_Province,https://www.tripadvisor.it/Restaurants-g188669-Leuven_Flemish_Brabant_Province.html,"_x000D_
Louvain Louvain_x000D_
",/Restaurant_Review-g188669-d1059035-Reviews-Louvain_Louvain-Leuven_Flemish_Brabant_Province.html,3,5,50.878101,4.69909,NA,NA,NA,NA,0,"Indirizzo:_x000D_
 Oude Markt 39-40, Leuven 3000, Belgio _x000D_
_x000D_
",NA,0,1,1,0,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,0.2,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0,0.2
