Column,name,link,rating,rating_num,ranking,latitude,longitude,stars,excellence_cert,address,price_range,stars_alt,rooms,evaluation,families,couples,alone,business,friends,mar_may,jun_aug,sep_nov,dec_feb_old,languages,price_range_low,price_range_up,avg_price,stars_alt_new,excellent,very_good,good,bad,very_bad,dec_feb,italian,first_foreign_new,second_foreign_new,NA,NA2,excellent_p,very_good_p,good_p,bad_p,very_p,families_p,couples_p,alone_p,business_p,friends_p,mar_may_p,jun_aug_p,sep_nov_p,dec_feb_p,region
4,The Cube Hostel,/Hotel_Review-g188669-d6903456-Reviews-The_Cube_Hostel-Leuven_Flemish_Brabant_Province.html,"4,5",217,N. 1 di 19 altri alloggi a Leuven,NA,NA,NA,1,Brusselsestraat 110,NA,NA,NA,4.5,3,49,16,12,25,28,7,16,Eccellente10Molto buono1Nella media1Scarso1Pessimo0,Italiano (28),Inglese (33),Olandese (5),NA,NA,NA,NA,31,15,2,0,1,13,NA,NA,NA,NA,NA,"0,142857142857143","0,0691244239631336","0,00921658986175115","0,0138248847926267","0,225806451612903","0,0737327188940092","0,0552995391705069","0,115207373271889","0,129032258064516","0,032258064516129","0,0737327188940092",0,Leuven
45,B&B Toets en Bord,/Hotel_Review-g188669-d3165923-Reviews-B_B_Toets_en_Bord-Leuven_Flemish_Brabant_Province.html,4,1,N. 22 di 26 Bed & Breakfast a Leuven,"50,87286","4,70831",NA,0,Brabanconnestraat 93,NA,NA,NA,NaN,0,0,0,0,0,0,0,0,Eccellente0Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Leuven
14,Theater Hotel Leuven,/Hotel_Review-g188669-d310476-Reviews-Theater_Hotel_Leuven-Leuven_Flemish_Brabant_Province.html,"3,5",175,N. 10 di 18 hotel a Leuven,"50,879532","4,704875",NA,Vedi tutte le foto (96)96,Bondgenotenlaan 20,NA,NA,NA,3.9,4,47,18,35,20,68,33,43,Eccellente7Molto buono7Nella media9Scarso0Pessimo1,Italiano (16),Inglese (30),Olandese (8),NA,NA,NA,NA,11,22,12,1,1,24,NA,NA,NA,NA,NA,"0,0628571428571429","0,125714285714286","0,0685714285714286","0,0228571428571429","0,268571428571429","0,102857142857143","0,2","0,114285714285714","0,388571428571429","0,188571428571429","0,245714285714286","0,00571428571428571",Leuven
15,Hotel Malon,/Hotel_Review-g188669-d1463432-Reviews-Hotel_Malon-Leuven_Flemish_Brabant_Province.html,"3,5",52,N. 11 di 26 Bed & Breakfast a Leuven,"50,881611","4,71425",NA,Vedi tutte le foto (8)8,Martelarenplein 15,NA,NA,NA,3.6,2,16,7,10,8,19,12,10,Eccellente0Molto buono5Nella media3Scarso1Pessimo0,Italiano (9),Inglese (8),Olandese (6),NA,NA,NA,NA,1,8,6,1,0,9,NA,NA,NA,NA,NA,"0,0192307692307692","0,153846153846154","0,115384615384615","0,0384615384615385","0,307692307692308","0,134615384615385","0,192307692307692","0,153846153846154","0,365384615384615","0,230769230769231","0,192307692307692","0,0192307692307692",Leuven
3,Park Inn by Radisson Leuven,/Hotel_Review-g188669-d2141111-Reviews-Park_Inn_by_Radisson_Leuven-Leuven_Flemish_Brabant_Province.html,4,1406,N. 2 di 18 hotel a Leuven,NA,NA,NA,1,Martelarenlaan 36,NA,NA,NA,4.2,18,317,113,248,139,375,167,218,Eccellente57Molto buono95Nella media34Scarso7Pessimo5,NA,NA,NA,NA,NA,NA,NA,118,154,33,9,3,198,NA,NA,NA,NA,NA,"0,0839260312944523","0,109530583214794","0,0234708392603129","0,0128022759601707","0,225462304409673","0,0803698435277383","0,176386913229019","0,0988620199146515","0,266714082503556","0,11877667140825","0,155049786628734","0,00640113798008535",Leuven
16,La Royale,/Hotel_Review-g188669-d317721-Reviews-La_Royale-Leuven_Flemish_Brabant_Province.html,"3,5",141,N. 15 di 18 hotel a Leuven,"50,881119","4,714395",NA,Vedi tutte le foto (48)48,Martelarenplein 6,NA,NA,NA,3.5,8,34,10,17,14,32,16,18,Eccellente0Molto buono5Nella media5Scarso3Pessimo1,Italiano (18),Inglese (16),Olandese (14),NA,NA,NA,NA,4,14,11,4,1,14,NA,NA,NA,NA,NA,"0,0283687943262411","0,099290780141844","0,0780141843971631","0,0567375886524823","0,24113475177305","0,0709219858156028","0,120567375886525","0,099290780141844","0,226950354609929","0,113475177304965","0,127659574468085","0,0283687943262411",Leuven
58,Casa Ra Toca,/Hotel_Review-g188669-d3256514-Reviews-Casa_Ra_Toca-Leuven_Flemish_Brabant_Province.html,"4,5",23,N. 13 di 26 Bed & Breakfast a Leuven,"50,879269","4,699831",NA,Vedi tutte le foto (23)23,Parijsstraat 7,NA,NA,NA,4,1,2,1,1,1,6,2,5,Eccellente0Molto buono1Nella media0Scarso0Pessimo0,Italiano (2),Inglese (2),Tutte le lingue,NA,NA,NA,NA,0,2,0,0,0,1,NA,NA,NA,NA,NA,0,"0,0869565217391304",0,"0,0434782608695652","0,0869565217391304","0,0434782608695652","0,0434782608695652","0,0434782608695652","0,260869565217391","0,0869565217391304","0,217391304347826",0,Leuven
13,Binnenhof Hotel,/Hotel_Review-g188669-d312489-Reviews-Binnenhof_Hotel-Leuven_Flemish_Brabant_Province.html,"3,5",138,N. 12 di 18 hotel a Leuven,"50,878815","4,712225",NA,Vedi tutte le foto (41)41,Maria-Theresiastraat 65,NA,NA,NA,3.4,2,40,26,35,28,68,43,39,Eccellente3Molto buono10Nella media18Scarso4Pessimo3,Italiano (24),Inglese (23),Olandese (6),NA,NA,NA,NA,5,14,16,3,2,38,NA,NA,NA,NA,NA,"0,036231884057971","0,101449275362319","0,115942028985507","0,0144927536231884","0,289855072463768","0,188405797101449","0,253623188405797","0,202898550724638","0,492753623188406","0,311594202898551","0,282608695652174","0,0217391304347826",Leuven
18,Boardhouse Hotel,/Hotel_Review-g641779-d637182-Reviews-Boardhouse_Hotel-Heverlee_Leuven_Flemish_Brabant_Province.html,"4,5",89,N. 1 di 2 Bed & Breakfast a Heverlee,"50,86348","4,69132",NA,Vedi tutte le foto (20)20,Jules Vandenbemptlaan 6,NA,NA,NA,4.4,2,24,11,19,12,28,14,17,Eccellente10Molto buono5Nella media1Scarso1Pessimo0,Italiano (10),Inglese (11),Olandese (7),NA,NA,NA,NA,10,13,1,0,0,17,NA,NA,NA,NA,NA,"0,112359550561798","0,146067415730337","0,0112359550561798","0,0224719101123595","0,269662921348315","0,123595505617978","0,213483146067416","0,134831460674157","0,314606741573034","0,157303370786517","0,191011235955056",0,Leuven
39,B&B 52,/Hotel_Review-g188669-d3386452-Reviews-B_B_52-Leuven_Flemish_Brabant_Province.html,5,8,N. 12 di 26 Bed & Breakfast a Leuven,"50,89669","4,72861",NA,Vedi tutte le foto (17)17,Bruineveld 52,NA,NA,NA,5,0,3,2,1,2,1,1,1,Eccellente1Molto buono0Nella media0Scarso0Pessimo0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,1,NA,NA,NA,NA,NA,"0,375",0,0,0,"0,375","0,25","0,125","0,25","0,125","0,125","0,125",0,Leuven
